Name,Type,RA_J2000,Dec_J2000,z,D_L (Mpc),log(L_IR/L_Sun),L_IR (E11 Lsun),L_14-195keV (E42 ergs/s),log(L_IR) (L_Sun),P_CT,log10(Msun),Citation
NGC 7130,LIRG,327.0833333333333,-34.95138888888889,0.0163,68.1,,2.3,,,,,Falstad et al
ESO 173-G015,LIRG,201.84999999999997,-57.489444444444445,0.01,32.7,,2.2,,,,,Falstad et al
NGC 3110,LIRG,151.00833333333333,-6.474722222222223,0.0169,74.3,,2.0,,,,,Falstad et al
IC 4734,LIRG,279.6083333333333,-57.49055555555556,0.0156,67.8,,1.9,,,,,Falstad et al
Zw 49.057,LIRG,228.30416666666665,7.225555555555555,0.013,60.2,,1.9,,,,,Falstad et al
NGC 5135,LIRG,201.4333333333333,-29.83361111111111,0.0137,52.6,,1.5,,,,,Falstad et al
ESO 221-IG10,LIRG,207.73749999999998,-49.05555555555555,0.0105,59.0,,1.5,,,,,Falstad et al
IC 5179,LIRG,334.03749999999997,-36.84388888888889,0.0113,47.3,,1.5,,,,,Falstad et al
UGC 2982,LIRG,63.09583333333333,5.546972222222222,0.0177,70.6,,1.4,,,,,Falstad et al
ESO 286-G035,LIRG,316.0458333333333,-43.5925,0.0174,73.2,,1.3,,,,,Falstad et al
NGC 4418,LIRG,186.72916666666666,-0.8775000000000001,0.0073,33.2,,1.3,,,,,Falstad et al
NGC 2369,LIRG,109.15833333333332,-62.34388888888889,0.0108,44.6,,1.3,,,,,Falstad et al
NGC 5734,LIRG,221.28749999999997,-20.870555555555555,0.0136,60.2,,1.1,,,,,Falstad et al
ESO 320-G030,LIRG,178.29999999999998,-39.13027777777778,0.0103,36.0,,1.1,,,,,Falstad et al
NGC 1068f,sub-LIRG,40.670833333333334,-0.013333333333333334,0.0038,15.8,,2.5,,,,,Falstad et al
NGC 1808,sub-LIRG,76.92499999999998,-37.51305555555555,0.0034,13.1,,0.56,,,,,Falstad et al
NGC 4254,sub-LIRG,184.70833333333331,14.416500000000001,0.008,15.3,,0.34,,,,,Falstad et al
NGC 4303,sub-LIRG,185.47916666666663,4.473583333333333,0.0052,15.3,,0.32,,,,,Falstad et al
NGC 660,sub-LIRG,25.758333333333333,13.645694444444445,0.0028,12.3,,0.31,,,,,Falstad et al
NGC 4527,sub-LIRG,188.53749999999997,2.6538055555555555,0.0058,15.3,,0.26,,,,,Falstad et al
NGC 3627,sub-LIRG,170.06249999999997,12.991277777777777,0.0024,10.0,,0.24,,,,,Falstad et al
NGC 613,sub-LIRG,23.574999999999996,-29.41861111111111,0.0049,15.0,,0.23,,,,,Falstad et al
NGC 4666,sub-LIRG,191.28749999999997,-0.46194444444444444,0.0051,12.8,,0.23,,,,,Falstad et al
NGC 1792,sub-LIRG,76.30833333333331,-37.98083333333334,0.004,12.5,,0.21,,,,,Falstad et al
NGC 4501,sub-LIRG,187.9958333333333,14.420416666666666,0.0076,15.3,,0.21,,,,,Falstad et al
NGC 4536,sub-LIRG,188.61249999999998,2.1878888888888888,0.006,14.9,,0.21,,,,,Falstad et al
NGC 5643,sub-LIRG,218.1708333333333,-44.17472222222222,0.004,14.4,,0.19,,,,,Falstad et al
NGC 3628,sub-LIRG,170.07083333333333,13.589500000000001,0.0028,10.0,,0.17,,,,,Falstad et al
NGC 1559,sub-LIRG,64.39999999999999,-62.78361111111111,0.0043,12.7,,0.16,,,,,Falstad et al
NGC 5248,sub-LIRG,204.3833333333333,8.885055555555555,0.0038,13.8,,0.16,,,,,Falstad et al
NGC 3810,sub-LIRG,175.2458333333333,11.47113888888889,0.0033,15.4,,0.13,,,,,Falstad et al
NGC 4654,sub-LIRG,190.98749999999998,13.12636111111111,0.0035,15.3,,0.12,,,,,Falstad et al
NGC 1055,sub-LIRG,40.4375,0.4439166666666667,0.0033,11.3,,0.12,,,,,Falstad et al
2MASXJ00253292+6821442,CT AGN,6.387,68.3623,0.012,,,,5.29,,0.31,,Akylas et al
MCG-07-03-007,CT AGN,16.3617,-42.2162,0.0302,,,,25.1,,0.99,,Akylas et al
3C033,CT AGN,17.2203,13.3372,0.0597,,,,236.28,,0.14,,Akylas et al
NGC424,CT AGN,17.865,-38.083,0.0118,,,,6.39,,0.7,,Akylas et al
MCG+08-03-018,CT AGN,20.6435,50.055,0.0204,,,,10.55,,1.0,,Akylas et al
ESO244-IG030,CT AGN,22.4636,-42.3265,0.0256,,,,14.96,,0.99,,Akylas et al
ARP318,CT AGN,32.3805,-10.1585,0.0132,,,,5.49,,0.02,,Akylas et al
NGC1068,CT AGN,40.6696,-0.0133,0.0038,,,,0.8,,1.0,,Akylas et al
2MFGC02280,CT AGN,42.6775,54.7049,0.0152,,,,13.28,,0.95,,Akylas et al
NGC1106,CT AGN,42.6688,41.6715,0.0145,,,,8.05,,1.0,,Akylas et al
NGC1125,CT AGN,42.918,-16.651,0.011,,,,4.24,,1.0,,Akylas et al
NGC1194,CT AGN,45.9546,-1.1037,0.0136,,,,14.32,,0.99,,Akylas et al
NGC1229,CT AGN,47.0449,-22.9608,0.036,,,,30.58,,0.79,,Akylas et al
2MASXJ03561995-6251391,CT AGN,59.083,-62.861,0.1076,,,,334.66,,1.0,,Akylas et al
ESO005-G004,CT AGN,91.4235,-86.6319,0.0064,,,,3.01,,0.32,,Akylas et al
Mrk3,CT AGN,93.9015,71.0375,0.0135,,,,59.18,,0.16,,Akylas et al
ESO426-G002,CT AGN,95.9434,-32.2166,0.0224,,,,25.91,,0.54,,Akylas et al
2MASXJ06561197-4919499,CT AGN,104.0498,-49.3306,0.041,,,,48.27,,0.86,,Akylas et al
MCG+06-16-028,CT AGN,108.5161,35.2793,0.0157,,,,9.16,,0.9,,Akylas et al
Mrk78,CT AGN,115.6739,65.1771,0.0371,,,,30.25,,0.73,,Akylas et al
2MASXJ08434495+3549421,CT AGN,130.9375,35.8283,0.054,,,,77.22,,0.2,,Akylas et al
NGC2788A,CT AGN,135.664,-68.227,0.0133,,,,7.84,,0.98,,Akylas et al
SBS0915+556,CT AGN,139.805,55.4653,0.1234,,,,356.13,,0.85,,Akylas et al
2MASXJ09235371-3141305,CT AGN,140.9739,-31.6919,0.0424,,,,84.01,,0.95,,Akylas et al
MCG+10-14-025,CT AGN,143.9652,61.3531,0.0394,,,,30.95,,0.19,,Akylas et al
NGC3081,CT AGN,149.8731,-22.8263,0.008,,,,11.11,,1.0,,Akylas et al
NGC3079,CT AGN,150.4908,55.6798,0.0037,,,,0.97,,1.0,,Akylas et al
ESO317-G041,CT AGN,157.8463,-42.0606,0.0193,,,,15.27,,0.98,,Akylas et al
SDSSJ103315.71+525217.8,CT AGN,158.3159,52.8716,0.0653,,,,82.56,,1.0,,Akylas et al
NGC3393,CT AGN,162.0977,-25.1621,0.0125,,,,6.96,,1.0,,Akylas et al
NGC3588NED01,CT AGN,168.5103,20.3873,0.0262,,,,12.35,,0.35,,Akylas et al
IC0751,CT AGN,179.7191,42.5703,0.0312,,,,28.81,,0.06,,Akylas et al
NGC4102,CT AGN,181.5963,52.7109,0.0028,,,,0.48,,0.15,,Akylas et al
NGC4180,CT AGN,183.262,7.038,0.007,,,,1.75,,0.87,,Akylas et al
CGCG187-022,CT AGN,183.2888,32.5964,0.0249,,,,14.5,,0.7,,Akylas et al
NGC4941,CT AGN,196.0547,-5.5516,0.0037,,,,0.61,,0.75,,Akylas et al
NGC4945,CT AGN,196.3645,-49.4682,0.0019,,,,2.14,,1.0,,Akylas et al
Circinus Galaxy,CT AGN,213.2913,-65.339,0.0014,,,,1.03,,1.0,,Akylas et al
IGRJ14175-4641,CT AGN,214.2652,-46.6948,0.076,,,,322.8,,0.98,,Akylas et al
NGC5643,CT AGN,218.1699,-44.1746,0.004,,,,0.6,,0.96,,Akylas et al
NGC5728,CT AGN,220.5997,-17.2532,0.0093,,,,17.1,,1.0,,Akylas et al
CGCG164-019,CT AGN,221.4035,27.0348,0.0299,,,,31.21,,0.13,,Akylas et al
ESO137-G034,CT AGN,248.807,-58.08,0.009,,,,4.94,,0.88,,Akylas et al
NGC6232,CT AGN,250.8343,70.6325,0.029,,,,5.35,,0.85,,Akylas et al
NGC6240,CT AGN,253.2454,2.4009,0.0245,,,,110.2,,1.0,,Akylas et al
NGC6552,CT AGN,270.0304,2.4009,0.0265,,,,26.69,,1.0,,Akylas et al
2MASXJ20145928+2523010,CT AGN,303.747,25.3836,0.0453,,,,58.8,,1.0,,Akylas et al
MCG+04-48-002,CT AGN,307.1461,66.6154,0.0139,,,,33.05,,0.11,,Akylas et al
ESO234-IG063,CT AGN,310.0656,-51.4297,0.0537,,,,77.81,,0.51,,Akylas et al
NGC7130,CT AGN,327.0813,-34.9512,0.0162,,,,7.9,,1.0,,Akylas et al
NGC7212NED02,CT AGN,331.7582,10.2334,0.0267,,,,17.0,,0.87,,Akylas et al
NGC7479,CT AGN,346.2361,12.3229,0.0079,,,,2.62,,1.0,,Akylas et al
2MASXJ23222444-0645375,CT AGN,350.6019,-6.7605,0.033,,,,31.8,,0.14,,Akylas et al
NGC 34,U/LIRG,2.7770833333333327,-12.107222222222221,0.019617,84.1,,,,11.49,,,U et al
MCG -02-01-051/2,U/LIRG,4.709999999999999,-10.36888888888889,0.027329,117.5,,,,11.48,,,U et al
NGC 232,U/LIRG,10.69083333333333,-23.56138888888889,0.022639,95.2,,,,11.44,,,U et al
IC 1623A/B,U/LIRG,16.946666666666665,-17.506944444444443,0.020067,85.5,,,,11.71,,,U et al
MCG -03-04-014,U/LIRG,17.53708333333333,-16.852777777777778,0.020067,144.0,,,,11.65,,,U et al
CGCG 436-030,U/LIRG,20.011249999999997,14.361944444444443,0.031522,134.0,,,,11.69,,,U et al
IRAS F01364-1042,U/LIRG,24.72041666666666,-10.453055555555554,0.048232,210.0,,,,11.85,,,U et al
III Zw 35,U/LIRG,26.12708333333333,17.10138888888889,0.027436,119.0,,,,11.64,,,U et al
NGC 695,U/LIRG,27.809166666666666,22.5825,0.032469,139.0,,,,11.68,,,U et al
NGC 958,U/LIRG,37.678333333333335,-2.938888888888889,0.01915,80.6,,,,11.2,,,U et al
UGC 2238,U/LIRG,41.57291666666666,13.095555555555556,0.021505,92.4,,,,11.33,,,U et al
UGC 2369,U/LIRG,43.50749999999999,14.973611111111111,0.032559,136.0,,,,11.67,,,U et al
IRAS F03359+1523,U/LIRG,54.69458333333333,15.54861111111111,0.035401,152.0,,,,11.55,,,U et al
UGC 2982,U/LIRG,63.09333333333333,5.5475,0.017696,74.9,,,,11.2,,,U et al
ESO 550-IG025,U/LIRG,65.33333333333331,-18.813333333333333,0.032196,138.5,,,,11.51,,,U et al
NGC 1614,U/LIRG,68.49916666666665,-8.578888888888889,0.015938,67.8,,,,11.65,,,U et al
IRAS F05189-2524,U/LIRG,80.25624999999998,-25.3625,0.044064,187.0,,,,12.16,,,U et al
NGC 2623,U/LIRG,129.60041666666666,25.754722222222224,0.018509,84.1,,,,11.6,,,U et al
IRAS F08572+3915,U/LIRG,135.1058333333333,39.065,0.058199,264.0,,,,12.16,,,U et al
UGC 4881,U/LIRG,138.9795833333333,44.331944444444446,0.03927,178.0,,,,11.74,,,U et al
UGC 5101,U/LIRG,143.96499999999997,61.35305555555556,0.039367,177.0,,,,12.01,,,U et al
MCG +08-18-012/3,U/LIRG,144.15499999999997,48.474444444444444,0.025149,117.0,,,,11.34,,,U et al
IC -488237,U/LIRG,146.5858333333333,3.058333333333333,0.020467,92.9,,,,11.23,,,U et al
NGC 3110,U/LIRG,151.00874999999996,-6.474722222222223,0.016858,79.5,,,,11.37,,,U et al
IRAS F10173+0828,U/LIRG,155.0008333333333,8.226111111111111,0.049,224.0,,,,11.86,,,U et al
IRAS F10565+2448,U/LIRG,164.82541666666665,24.543055555555558,0.0431,197.0,,,,12.08,,,U et al
MCG +07-23-019,U/LIRG,165.97166666666664,40.84916666666667,0.034524,158.0,,,,11.62,,,U et al
CGCG 011-076,U/LIRG,170.30083333333332,-2.984166666666667,0.024294,117.0,,,,11.43,,,U et al
IC 2810A/B,U/LIRG,171.43749999999997,14.676666666666666,0.034013,157.0,,,,11.64,,,U et al
NGC 3690/IC 694,U/LIRG,172.12666666666667,58.56944444444445,0.010411,50.7,,,,11.93,,,U et al
IRAS F12112+0305,U/LIRG,183.44166666666666,2.8105555555555553,0.073317,340.0,,,,12.36,,,U et al
IRAS F12224-0624,U/LIRG,186.26624999999999,-6.681388888888889,0.026358,125.0,,,,11.36,,,U et al
UGC 8058,U/LIRG,194.05916666666664,56.87361111111111,0.04217,192.0,,,,12.57,,,U et al
NGC 4922,U/LIRG,195.35375,29.311111111111114,0.023586,111.0,,,,11.38,,,U et al
ESO 507-G070,U/LIRG,195.71791666666664,-23.921666666666667,0.021702,106.0,,,,11.56,,,U et al
IC 860,U/LIRG,198.7645833333333,24.61888888888889,0.012909,56.8,,,,11.14,,,U et al
VV 250,U/LIRG,198.88666666666663,62.12694444444445,0.031065,142.0,,,,11.81,,,U et al
UGC 8387,U/LIRG,200.1470833333333,34.13944444444444,0.023056,110.0,,,,11.73,,,U et al
NGC 5104,U/LIRG,200.34624999999997,0.34249999999999997,0.018551,90.8,,,,11.27,,,U et al
MCG -03-34-064,U/LIRG,200.60166666666666,-16.72861111111111,0.017179,82.2,,,,11.28,,,U et al
NGC 5135,U/LIRG,201.4333333333333,-29.83361111111111,0.013693,60.9,,,,11.3,,,U et al
NGC 5256,U/LIRG,204.57291666666663,48.276944444444446,0.027863,129.0,,,,11.56,,,U et al
NGC 1226334,U/LIRG,204.97999999999996,0.8369444444444445,0.0225,108.5,,,,11.62,,,U et al
UGC 8696,U/LIRG,206.17541666666662,55.886944444444445,0.03734,173.0,,,,12.21,,,U et al
CGCG 247-020,U/LIRG,214.92999999999998,49.236666666666665,0.025528,120.0,,,,11.39,,,U et al
IRAS F14348-1447,U/LIRG,219.40958333333333,-15.006388888888889,0.082314,387.0,,,,12.39,,,U et al
VV 340,U/LIRG,224.25166666666664,24.612222222222222,0.033168,157.0,,,,11.74,,,U et al
CGCG 049-057,U/LIRG,228.3045833333333,7.225555555555555,0.013055,65.4,,,,11.35,,,U et al
VV 705,U/LIRG,229.52624999999998,42.743611111111115,0.040191,183.0,,,,11.92,,,U et al
IRAS F15250+3608,U/LIRG,231.74749999999997,35.977222222222224,0.055206,254.0,,,,12.08,,,U et al
UGC 9913,U/LIRG,233.73791666666662,23.503055555555555,0.018398,87.9,,,,12.28,,,U et al
NGC 6090,U/LIRG,242.9195833333333,52.45666666666667,0.029304,137.0,,,,11.58,,,U et al
CGCG 052-037,U/LIRG,247.73541666666665,4.082777777777777,0.02449,116.0,,,,11.45,,,U et al
NGC 1601742,U/LIRG,254.6158333333333,58.946666666666665,0.018983,85.7,,,,11.37,,,U et al
IRAS F17132+5313,U/LIRG,258.5833333333333,53.175,0.050935,232.0,,,,11.96,,,U et al
ESO 602-G025,U/LIRG,337.85624999999993,-19.034444444444446,0.025041,110.0,,,,11.34,,,U et al
IRAS F22491-1808,U/LIRG,342.955,-17.873055555555556,0.07775,351.0,,,,12.2,,,U et al
NGC 7469/IC 5283,U/LIRG,345.82041666666663,8.88361111111111,0.016024,70.8,,,,11.65,,,U et al
CGCG 453-062,U/LIRG,346.23541666666665,19.552222222222223,0.025097,109.0,,,,11.38,,,U et al
IC 5298,U/LIRG,349.00291666666664,25.55666666666667,0.027422,119.0,,,,11.6,,,U et al
NGC 7592,U/LIRG,349.5925,4.416944444444445,0.024444,106.0,,,,11.4,,,U et al
NGC 7674,U/LIRG,351.9908333333333,8.780833333333334,0.02903,125.0,,,,11.56,,,U et al
NGC 2143976,U/LIRG,357.85374999999993,20.111944444444447,0.01446,61.2,,,,11.4,,,U et al
MRK 331,U/LIRG,357.8616666666667,20.58611111111111,0.018136,70.5,,,,11.5,,,U et al
